version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 175 7.45634e+07 9.63846e+07 65094.8 263242 112202 275483
baseline sum_reduce 20 2 192 64 175 7.44766e+07 9.58654e+07 63272.8 246569 114321 268257
baseline sum_reduce 20 2 192 64 175 7.09178e+07 9.19459e+07 59580.1 253174 101877 272309
baseline sum_reduce 20 2 192 64 175 7.41461e+07 9.53277e+07 58434.8 221702 99348.7 274872
baseline sum_reduce 20 2 192 64 175 7.32625e+07 9.4823e+07 119946 2.0734e+07 115748 328614
baseline sum_reduce 20 2 192 64 175 6.99974e+07 7.1105e+07 322265 2.07546e+07 101500 278220
baseline sum_reduce 20 2 192 64 175 7.20552e+07 9.3911e+07 62363.3 222197 110338 287152
baseline sum_reduce 20 2 192 64 175 7.36804e+07 9.49921e+07 65940.6 240213 113361 302694
baseline sum_reduce 20 2 192 64 175 7.25531e+07 9.41834e+07 114361 2.06963e+07 103945 273654
baseline sum_reduce 20 2 192 64 175 7.34781e+07 9.44363e+07 115018 2.03002e+07 109124 265448
baseline sum_reduce 20 2 192 64 175 7.48996e+07 7.60838e+07 170129 2.06141e+07 112976 399096
baseline sum_reduce 20 2 192 64 200 7.5687e+07 7.68568e+07 178898 2.07655e+07 130859 346690
baseline sum_reduce 20 2 192 64 200 7.59316e+07 9.75457e+07 128933 2.09376e+07 136142 371544
baseline sum_reduce 20 2 192 64 200 7.06682e+07 9.17903e+07 267839 2.06486e+07 104128 290138
baseline sum_reduce 20 2 192 64 200 7.23925e+07 9.39253e+07 62767 348159 116474 343039
baseline sum_reduce 20 2 192 64 200 7.08757e+07 9.16791e+07 118287 1.99751e+07 126946 337240
baseline sum_reduce 20 2 192 64 200 7.45786e+07 9.65932e+07 126801 2.08894e+07 129576 322245
baseline sum_reduce 20 2 192 64 200 7.34465e+07 9.55952e+07 66327.7 305875 127517 330175
baseline sum_reduce 20 2 192 64 200 7.31318e+07 9.50818e+07 70037.9 262135 132673 319825
baseline sum_reduce 20 2 192 64 200 7.49625e+07 9.58928e+07 121996 2.02811e+07 130730 325006
baseline sum_reduce 20 2 192 64 200 7.45868e+07 7.58142e+07 127345 2.07284e+07 139807 369187
baseline sum_reduce 20 2 192 64 200 7.19031e+07 7.31383e+07 119795 2.00636e+07 125105 323821
baseline sum_reduce 20 2 192 64 200 7.11686e+07 9.21248e+07 69491.3 332514 127087 340892
