version workload runs warmup blocks threads_per_block num_floats malloc_mean malloc_max free_mean free_max work_mean work_max
baseline sum_reduce 20 2 192 64 6 870327 5.54352e+06 25002.1 134668 2330.14 37850
baseline sum_reduce 20 2 192 64 6 851684 1.3502e+06 35958.7 4.22828e+06 2140.27 7095
baseline sum_reduce 20 2 192 64 7 867860 5.64859e+06 25002.3 174799 2550.93 14290
baseline sum_reduce 20 2 192 64 7 875996 1.31316e+06 35853.6 4.14113e+06 2496.42 6467
baseline sum_reduce 20 2 192 64 7 875395 1.32606e+06 34895.3 4.21894e+06 2517.08 17204
baseline sum_reduce 20 2 192 64 7 878257 5.60191e+06 25210.4 149863 2651.5 30847
baseline sum_reduce 20 2 192 64 7 867604 1.40286e+06 35534.9 4.1798e+06 2600.02 26788
baseline sum_reduce 20 2 192 64 7 876404 1.32508e+06 35289.9 4.21113e+06 2589.56 37618
baseline sum_reduce 20 2 192 64 7 867062 1.31407e+06 35749.3 4.26341e+06 2498.97 7718
baseline sum_reduce 20 2 192 64 7 886238 5.74387e+06 25039.6 106958 2503.26 7298
baseline sum_reduce 20 2 192 64 7 865732 1.41058e+06 45423.7 4.20701e+06 2510.64 12038
baseline sum_reduce 20 2 192 64 7 866036 1.39719e+06 35111.9 4.20602e+06 2447.22 5546
baseline sum_reduce 20 2 192 64 7 872193 5.50098e+06 24494 151672 2559.4 14282
baseline sum_reduce 20 2 192 64 7 858995 1.30639e+06 34833.9 4.1913e+06 2498.96 13271
baseline sum_reduce 20 2 192 64 7 851295 1.41574e+06 45893.1 4.24699e+06 2459.84 7257
baseline sum_reduce 20 2 192 64 7 875608 5.51757e+06 24020.5 133288 2505.42 11479
baseline sum_reduce 20 2 192 64 7 894005 5.59531e+06 24421 157782 2468.31 6436
baseline sum_reduce 20 2 192 64 7 873693 5.6389e+06 24610.5 135945 2486.17 7609
baseline sum_reduce 20 2 192 64 7 882612 5.54635e+06 36012.2 4.21575e+06 2575.81 11461
baseline sum_reduce 20 2 192 64 7 874261 1.49058e+06 35586.5 4.11347e+06 2580.77 34845
baseline sum_reduce 20 2 192 64 7 859550 5.50663e+06 46518.5 4.15032e+06 2528.34 6071
baseline sum_reduce 20 2 192 64 7 859699 1.4913e+06 34808.5 4.07722e+06 2451.91 4916
baseline sum_reduce 20 2 192 64 8 885693 5.67036e+06 24575.9 148826 1492.43 11833
baseline sum_reduce 20 2 192 64 8 852750 1.37399e+06 46399.6 4.33648e+06 1488.34 4378
baseline sum_reduce 20 2 192 64 8 867566 1.32879e+06 35943.9 4.23265e+06 1477.12 7459
baseline sum_reduce 20 2 192 64 8 868012 5.44431e+06 35410.9 4.20607e+06 1550.2 19104
baseline sum_reduce 20 2 192 64 8 876977 5.52612e+06 24948 147390 1499.76 11041
baseline sum_reduce 20 2 192 64 8 874514 1.43804e+06 35253.9 4.17124e+06 1472.04 3775
baseline sum_reduce 20 2 192 64 8 843332 1.34243e+06 34984.3 4.28813e+06 1465.09 4951
baseline sum_reduce 20 2 192 64 8 866939 5.55398e+06 25124.7 141706 1468.89 3861
baseline sum_reduce 20 2 192 64 8 883858 5.594e+06 35650.8 4.1902e+06 1471.04 5470
baseline sum_reduce 20 2 192 64 8 874770 1.42584e+06 35732.1 4.25895e+06 1493.73 27180
baseline sum_reduce 20 2 192 64 8 875997 5.61148e+06 24987.5 123325 1576.61 32649
baseline sum_reduce 20 2 192 64 8 867587 1.39804e+06 35529.3 4.26954e+06 1488.57 3822
baseline sum_reduce 20 2 192 64 8 878159 5.59483e+06 24861.8 102726 1452.66 3969
baseline sum_reduce 20 2 192 64 8 867265 1.46181e+06 35266.6 4.26282e+06 1472.75 4228
baseline sum_reduce 20 2 192 64 8 858951 1.33788e+06 46742.7 4.18874e+06 1590.36 13644
baseline sum_reduce 20 2 192 64 8 842658 1.47468e+06 36041.1 4.15717e+06 1499.49 8536
baseline sum_reduce 20 2 192 64 8 874107 1.42958e+06 46330.1 4.16978e+06 1431.72 5603
baseline sum_reduce 20 2 192 64 8 878370 5.36634e+06 34975.9 4.14378e+06 1466.62 7054
baseline sum_reduce 20 2 192 64 8 868159 5.6175e+06 24257.7 105629 1470.09 4403
baseline sum_reduce 20 2 192 64 8 879656 5.56375e+06 24287.3 80867 1485.78 3779
baseline sum_reduce 20 2 192 64 9 896684 5.62296e+06 36536.5 4.3499e+06 2077.24 11725
baseline sum_reduce 20 2 192 64 9 859308 1.33656e+06 35517.1 4.27294e+06 2049.14 7401
baseline sum_reduce 20 2 192 64 9 861366 1.42504e+06 36035.9 4.23346e+06 2034.46 5993
baseline sum_reduce 20 2 192 64 9 861430 1.38509e+06 34697.7 4.1736e+06 2041.41 10317
baseline sum_reduce 20 2 192 64 9 870464 5.57755e+06 24605.1 107558 2139.36 19531
baseline sum_reduce 20 2 192 64 9 845546 1.33822e+06 46133.7 4.29355e+06 2022.28 3842
baseline sum_reduce 20 2 192 64 9 867057 1.42201e+06 35795.9 4.25799e+06 2030.24 4792
baseline sum_reduce 20 2 192 64 9 901927 5.62227e+06 25715.7 128935 2096.99 13415
baseline sum_reduce 20 2 192 64 9 868964 5.57612e+06 25415 140177 2046.77 10247
baseline sum_reduce 20 2 192 64 9 880576 5.62412e+06 25200 150155 2066.76 4627
baseline sum_reduce 20 2 192 64 9 857021 1.32304e+06 46705.5 4.2711e+06 2050.29 13167
baseline sum_reduce 20 2 192 64 9 861746 1.38259e+06 35791.6 4.23851e+06 1991.51 3853
baseline sum_reduce 20 2 192 64 9 860258 1.30288e+06 46700.1 4.26731e+06 2037.24 3487
baseline sum_reduce 20 2 192 64 9 860678 1.30217e+06 46367.2 4.21894e+06 2064.38 11353
baseline sum_reduce 20 2 192 64 9 872496 1.35081e+06 34556.2 4.03942e+06 2023.69 7082
baseline sum_reduce 20 2 192 64 9 861834 1.34223e+06 35431.3 4.28331e+06 2016.11 6957
baseline sum_reduce 20 2 192 64 9 865518 1.44624e+06 35277.2 4.2177e+06 2046.43 6866
baseline sum_reduce 20 2 192 64 9 866685 1.36336e+06 46505.9 4.28008e+06 2004.27 4574
baseline sum_reduce 20 2 192 64 9 864689 1.37409e+06 34930 4.24876e+06 2072.86 14068
baseline sum_reduce 20 2 192 64 9 880031 5.62793e+06 24001.1 118484 2014.58 8590
baseline sum_reduce 20 2 192 64 10 916873 5.63914e+06 36328.8 4.21768e+06 2386.07 8524
baseline sum_reduce 20 2 192 64 10 890102 1.35497e+06 34861.7 4.27015e+06 2408.21 6753
baseline sum_reduce 20 2 192 64 10 846045 1.29818e+06 47281.9 4.2636e+06 2503.44 7847
baseline sum_reduce 20 2 192 64 10 862183 1.39934e+06 35321.1 4.2429e+06 2400.08 5240
baseline sum_reduce 20 2 192 64 10 880582 1.39282e+06 35569.7 4.28425e+06 2363.95 5274
baseline sum_reduce 20 2 192 64 10 888302 5.57483e+06 25224.5 118526 2449.62 9770
baseline sum_reduce 20 2 192 64 10 858881 1.48034e+06 47301.2 4.34471e+06 2493.67 42415
baseline sum_reduce 20 2 192 64 10 865392 1.31461e+06 35347.8 4.15688e+06 2442.17 7886
baseline sum_reduce 20 2 192 64 10 870019 1.44882e+06 47380.9 4.36206e+06 2377.16 16469
baseline sum_reduce 20 2 192 64 10 869771 1.30936e+06 46947.2 4.35929e+06 2377.71 15143
baseline sum_reduce 20 2 192 64 10 854389 1.30009e+06 35599.1 4.18603e+06 2369.92 4166
baseline sum_reduce 20 2 192 64 10 882990 5.59111e+06 36378.5 4.28892e+06 2385.59 11931
baseline sum_reduce 20 2 192 64 10 868271 1.34353e+06 35630.6 4.17988e+06 2487.5 26389
baseline sum_reduce 20 2 192 64 10 875887 1.4349e+06 35568.6 4.25493e+06 2392.14 6533
baseline sum_reduce 20 2 192 64 10 890027 1.4779e+06 34319.1 4.0362e+06 2451.49 18531
baseline sum_reduce 20 2 192 64 10 883434 5.63029e+06 25209.3 144332 2463.24 35192
baseline sum_reduce 20 2 192 64 10 862099 1.38322e+06 35483.9 4.26407e+06 2363.14 5972
baseline sum_reduce 20 2 192 64 10 861862 1.48378e+06 35290.3 4.18629e+06 2419.07 12075
baseline sum_reduce 20 2 192 64 10 864707 1.48124e+06 35146.3 4.11842e+06 2490.81 32460
baseline sum_reduce 20 2 192 64 10 873989 5.58159e+06 36319.7 4.19756e+06 2433.11 7749
baseline sum_reduce 20 2 192 64 11 872716 5.60757e+06 24977.4 110919 2839.61 22185
baseline sum_reduce 20 2 192 64 11 882864 5.64783e+06 24602.9 80257 2786.56 16424
baseline sum_reduce 20 2 192 64 11 871066 1.46292e+06 46634 4.17631e+06 2790.07 7727
baseline sum_reduce 20 2 192 64 11 854202 1.33107e+06 35218.4 4.21924e+06 2782.64 8736
baseline sum_reduce 20 2 192 64 11 856422 1.37849e+06 46768.6 4.2625e+06 2916.88 25185
baseline sum_reduce 20 2 192 64 11 875837 1.31188e+06 35524.7 4.14222e+06 2825.53 12908
baseline sum_reduce 20 2 192 64 11 886163 1.47844e+06 34945.8 4.0765e+06 2768.28 11325
baseline sum_reduce 20 2 192 64 11 883920 5.68624e+06 36622.5 4.34367e+06 2866.87 42113
baseline sum_reduce 20 2 192 64 11 868983 1.32267e+06 35103.8 4.06169e+06 2879.14 25877
baseline sum_reduce 20 2 192 64 11 875606 5.63649e+06 25243.5 145575 2739.09 4814
baseline sum_reduce 20 2 192 64 11 881106 1.36419e+06 34787.5 4.17779e+06 2840.7 20741
baseline sum_reduce 20 2 192 64 11 867551 1.42424e+06 36029.2 4.28289e+06 2823.8 17766
baseline sum_reduce 20 2 192 64 11 866997 1.31907e+06 36039.8 4.18809e+06 2864.8 26448
baseline sum_reduce 20 2 192 64 11 877082 1.36984e+06 35159.6 4.14306e+06 2766.07 6257
baseline sum_reduce 20 2 192 64 11 861516 1.38975e+06 46631.9 4.22556e+06 2828.61 17208
baseline sum_reduce 20 2 192 64 11 887634 1.38242e+06 34865.9 4.11658e+06 2783.17 23967
baseline sum_reduce 20 2 192 64 11 867288 1.36537e+06 46168.4 4.23442e+06 2851.18 43592
baseline sum_reduce 20 2 192 64 11 870187 5.56805e+06 25226.5 107149 2798.22 8048
baseline sum_reduce 20 2 192 64 11 870304 1.33243e+06 47845.6 4.34102e+06 2814.97 15579
baseline sum_reduce 20 2 192 64 11 875464 5.57419e+06 35987.6 4.23964e+06 2804.38 8201
baseline sum_reduce 20 2 192 64 12 853316 1.41681e+06 35443.2 4.17996e+06 2186.33 21746
baseline sum_reduce 20 2 192 64 12 891681 1.57311e+06 36470.2 4.34584e+06 2166.48 9713
baseline sum_reduce 20 2 192 64 12 889390 5.62814e+06 25386.6 171493 2174.23 15680
baseline sum_reduce 20 2 192 64 12 891903 5.53695e+06 35947.3 4.27013e+06 2210.96 17070
baseline sum_reduce 20 2 192 64 12 866723 1.29702e+06 46903 4.26548e+06 2190.69 24954
baseline sum_reduce 20 2 192 64 12 877286 1.3081e+06 46668.6 4.19186e+06 2183.68 8713
baseline sum_reduce 20 2 192 64 12 882314 1.33499e+06 36520 4.23447e+06 2217.96 11385
baseline sum_reduce 20 2 192 64 12 887055 5.59492e+06 24664.4 98214 2217.82 10170
baseline sum_reduce 20 2 192 64 12 866306 5.57551e+06 24538.3 117548 2106.1 5324
baseline sum_reduce 20 2 192 64 12 868667 5.64715e+06 36408.1 4.34739e+06 2156.45 5538
baseline sum_reduce 20 2 192 64 12 896954 1.49189e+06 36074.7 4.18545e+06 2213.43 17522
baseline sum_reduce 20 2 192 64 12 875136 1.35232e+06 35190.2 4.26561e+06 2132.4 3754
baseline sum_reduce 20 2 192 64 12 868845 1.42164e+06 35281.2 4.17884e+06 2149.13 4351
baseline sum_reduce 20 2 192 64 12 879129 1.46477e+06 36058.5 4.18806e+06 2295.91 25078
baseline sum_reduce 20 2 192 64 12 856940 1.36879e+06 35461.7 4.16969e+06 2164.76 4726
baseline sum_reduce 20 2 192 64 12 868652 5.55308e+06 24416.8 110042 2128.02 5202
baseline sum_reduce 20 2 192 64 12 867051 1.49572e+06 47137.6 4.3251e+06 2113.34 3928
baseline sum_reduce 20 2 192 64 12 879139 5.494e+06 23925.2 104991 2141.8 4685
baseline sum_reduce 20 2 192 64 12 873171 5.53032e+06 25080.4 156054 2142 10902
baseline sum_reduce 20 2 192 64 12 864003 1.31868e+06 36951 4.17545e+06 2215.16 10308
